ID,Final ID,Guideline,Ivano,Patricia,Bradley,Grace,Resolved,Usefulness,Provenance,Occurrences in repos,Notes on agreements,Quality requirements (comma-separated),Notes
G1,I3,Expose a single ROS node with interfaces for third-party users for the most common use cases  ,I,I,I,I,I,61,G,7,,"Usability,Maintainability",
G2,H2,Design ROS nodes to be as hardware-independent as possible,H,H,H,H,H,69,G,15,,"Maintainability,Portability,Compatibility",Use URDF files and other HW description files and make them accessible using the parameter server or in the launch file
G3,H3,Decouple ROS nodes from variations in the execution environment,N,H,H,H,H,59,"G, Q",9,,"Maintainability,Portability,Compatibility",This can be done by using configuration files and other needed artifacts and storing them either in a parameter server or having them as parameters of launch files. 
G4,I5,"Identify variation points of the system in advance, and design the system so that it can be extended by third-party users without modifying its core nodes  ",I,C,I,I,I,59,G,24,,Maintainability,Related to Extensibility
G5,C8,"Take into account that the data exchanged between nodes of the system may not be fully compatible (semantically), incorrect, out-of-order, or redundant",C,C,C,C,C,42,G,9,,"Compatibility,Reliability",Related to the usage of adapters and pre-/post-processing pipelines
G6,N4,"By design, limit unnecessary computationally-heavy operations by carefully analyzing the execution scenarios across ROS nodes",N,N,N,N,N,59,"G, Q",6,,"Performance,Energy","If we know that something will not happen (e.g., a collision between super-distant joints), then do not manage it. Also watchdogs."
G7,N8,"Use a dedicated node to store and represent globally-relevant data (e.g., the physical environment where the system operates) and use it as the single source of truth for all the other nodes in the system",N,P,C,N,N,38,G,5,,"Performance,Reliability,Safety",Example: Decouple checks for self-collisions from collisions with the external environment  
G8,H5,"If context-specific configuration is needed at run-time (e.g., the available hardware capabilities), then persist this configuration in a dedicated node to avoid having to recalculate it at run-time",H,C,H,H,H,32,G,4,,Performance,
G9,N3,Decouple nodes with responsibilities that naturally work at different rates and use different rates for different purposes,N,N,N,N,N,61,G,7,,"Performance,Reliability",
G10,S3,"For real-time requirements, collect timestamps from as many sources as possible (i.e., do not rely on ROS-based timestamps only) ",S,S,S,S,S,36,G,2,,Performance,
G11,C10,Publish empty messages when triggering atomic actions,C,C,C,C,C,25,G,1,,Performance,std_msgs/Empty Message
G12,C5,Nodes that potentially produce/consume large amounts of messages should be configurable in terms of their publish/subscribe rates  ,C,C,C,C,C,55,G,2,,"Performance,Maintainability,Reliability",
G13,C6,Selectively limit the data exchanged between nodes to provide only the information that is strictly necessary for completing tasks ,C,C,C,C,C,54,G,3,,"Performance,Security",
G14,S2,Use different communication channels and different hardware depending on the criticality and real-time needs of the nodes,C,S,C,S,S,49,"G, Q",1,,Reliability,
G15,S4,Provide at least one globally-reachable node capable of receiving run-stop messages and stopping/resetting the whole system,S,S,S,S,S,34,G,3,,"Reliability,Safety",
G16,H1,Nodes interacting with simulation or physical platforms should implement identical ROS messaging interfaces,H,C,H,H,H,72,G,3,,Portability,
G17,C1,"Use standard ROS message formats as much as possible, possibly supporting also their legacy versions ",C,C,C,C,C,71,"G, Q",9,,"Maintainability,Compatibility,Portability",
G18,N2,Each ROS package should be responsible for one and only one specific feature of the system or robot capability and provide a well-defined interface for it,N,N,C,N,N,63,G,9,"This is more about the internals of the nodes, not really about how they communicate",Maintainability,Single responsibility principle
G19,C4,"If the system is remotely distributed, constantly observe the status of the communication channels, hosts, and machines on the network ",C,H,C,C,C,57,G,4,"Is the network part of the context, similar to the hardware (G9)?",Reliability,
G20,B2,The spinning rate for nodes should be configurable so that they can operate according to available computational resources,N,B,B,B,B,47,G,4,,Performance,
G21,H4,The interface of nodes responsible for state estimation should (i) support an arbitrary number and different types of sensors and (ii) be able to combine the information provided by the sensors,H,H,C,H,H,50,G,1,,Compatibility,
G22,S1,State estimation nodes should be resilient with respect to the amount and frequency of the data received by the sensors,H,S,B,S,S,59,G,6,,Reliability,
G23,C3,"Include data- and node-health information in messages containing critical data (e.g., strength of GPS signal)",S,C,C,C,C,61,G,8,,Reliability,
G24,C9,"Use services when starting up robots, instead of publishing to topics",N,N,C,C,C,37,G,1,,Reliability,
G25,N7,Provide dedicated nodes for doing introspection and querying the lower levels of the system,N,N,N,N,N,41,G,3,,Portability,
G26,I4,"Systems interacting with other non-ROS systems should provide two types of interfaces: a ROS-independent interface for the external systems and a ROS-based interface for ROS tools such as Rviz, Qt, etc.",I,I,I,I,I,60,G,4,,"Usability,Compatibility",
G27,P1,"Avoid persisting raw data (e.g., a full resolution video) if only part of it will be used ",P,P,P,P,P,56,G,1,,Performance,Is this one going to be removed?
G28,C7,"If different types of data are always sent/received together and must be synchronized, then either package them into a single message or subscribe to them using a time synchronizer filter ",C,C,C,C,C,53,G,2,,Reliability,
G29,N6,Each single node should also be runnable in isolation,N,N,N,N,N,55,G,2,,Maintainability,
G30,B1,"The behavior of each node should follow a well-defined lifecyle, which should be queryable and updatable at run-time",B,B,B,B,B,50,G,4,,"Reliability,Maintainability,Portability",
G31,B3,"If a node is stateful and its behavior strongly depends on the time and order of arrival of messages, specify the protocol of the messages expected by the node",B,B,B,B,B,45,G,2,,"Reliability,Maintainability,Usability",
G32,B4,ROS nodes should be stateless and their behaviour should not depend on previous operations or received messages,B,B,B,B,B,30,G,1,,"Reliability,Maintainability,Usability",
G33,N5,Transform data only when it is used,N,N,C,N?,N,58,G,1,,"Performance,Maintainability",
G34,I1,"Assign meaningful names to components (e.g., nodes, topics, messages, services) and group them by adopting standard prefixes/suffixes ",Misc,I,Misc,I,I,71,"G, Q",4,We double checked all occurrences of this guideline and the practices are always referring to users/developers,"Maintainability,Usability",
G35,I2,"When possible, core algorithms, libraries, and other generic software components should be ROS-agnostic",I,I,I,I,I,68,"G, Q",1,,"Portability,Maintainability",
G36,P2,Pay special attention to race conditions when persisting data received from other ROS nodes within the system,P,P,P,P,P,52,G,1,,"Maintainability,Performance",
G37,P3,"Use a dedicated node for persisting and querying long-term data and short-term data (e.g., in the order of seconds) ",P,P,P,P,P,32,G,2,,"Maintainability,Performance",
G38,C2,"ROS nodes should be agnostic of the underlying communication mechanisms (e.g., network protocols, deployment topology, etc.) ",C,H,C,C,C,63,G,3,"Similar to the previous ""to check""","Maintainability,Portability",
G39,N1,"Group nodes and interfaces into cohesive sets, each of them with its own responsibilities and well-defined dependencies",N,I,N,N,N,63,"G, Q",3,"Fragments 90 and 125 seem to be outside of G41 and more related to the ""I"" group, whereas all the other fragments are related to a layered architecture (thus belonging to the ""N"" group) ","Maintainability,Portability",
G40,N9,Keep the number of nodes as low as possible to support the basic execution scenarios and then extend the architecture for managing corner cases  ,N,N,N,N,N,-,Q,-,,Maintainability,
G41,C11,Frequent messages should be exchanged either via services with persistent connections or via topic-based communication  ,C,C,C,C,C,-,Q,-,,Performance,
G42,B5,Nodes with configuration errors should fail explicitly at launch time,B,B,B,B,B,-,Q,-,,Reliability,
G43,N10,Take full advantage of existing packages in the ROS ecosystem and create your own package only when it is strictly needed.,N,N,N,N,N,-,Q,-,,Maintainability,
G44,B6,"If a node is computationally expensive, then ensure that it only executes when some other nodes are subscribing to a topic it publishes to (unless topic latching is enabled).",B,B,B,B,B,-,Q,-,,Performance,
G45,C12,Use nodelets when the overhead due to inter-process communication is too high both in terms of frequency of messages and payload.  ,C,C,C,C,C,-,Q,-,,Performance,
G46,C13,"Unsubscribe from topics where no messages will be published to (even temporarily).
",C,C,C,C,C,-,Q,-,,Performance,
G47,C14,Unsubscribe from topics when the subscribing node will not need the messages published to them (even temporarily).,C,C,C,C,C,-,Q,-,,Performance,
G48,C15,Publish messages (and perform the computation necessary to generate them) on a topic only when there is at least one subscriber to it. ,C,C,C,C,C,-,Q,-,,Performance,
G49,I6,Logging usage should be standardized across the project and follow well-defined guidelines.,I,I,I,I,I,-,Q,-,,Maintainability,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Themes definitions,,,Counts,,,,,,,,,,
N,,Node responsibilities,11,7,5,,10,,,,,,
C,,Network and Communications,9,10,15,,15,,,,,,
H,,"Interaction with hardware, drivers, sensors, and other lower-level entities",5,5,4,,5,,,,,,
I,,Interface to external users and developers,4,5,4,,6,,,,,,
P,,Data persistence,3,4,3,,3,,,,,,
B,,Internal node behavior,3,4,5,,6,,,,,,
S,,Safety-critical concerns,0,0,0,,4,,,,,,
Misc,,Miscellaneous,1,0,1,,0,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Conflicts before checks,-,15,11,,,,,,,,